entry_semester,gpa,entry_year,year_of_study
Fall 2022,2.3,2020,2
Spring 2023,2.37,2015,3
Summer 2015,2.9,2023,1
Summer 2015,3.31,2020,1
Winter 2017,3.57,2022,3
Fall 2020,2.61,2020,4
Fall 2015,3.39,2017,4
Spring 2022,2.91,2021,3
Winter 2014,3.92,2020,2
Fall 2010,2.85,2020,1
Fall 2015,3.89,2019,1
Spring 2018,2.0,2024,3
Spring 2012,2.01,2016,4
Fall 2013,3.26,2023,2
Spring 2023,3.25,2016,3
Winter 2013,3.34,2016,3
Spring 2020,2.17,2018,4
Winter 2014,2.43,2018,3
Spring 2015,2.28,2016,1
Fall 2019,2.35,2018,4
Spring 2015,2.25,2020,2
Fall 2012,2.19,2025,3
Summer 2012,3.13,2016,1
Summer 2022,2.47,2024,4
Spring 2017,3.83,2015,3
Winter 2019,3.78,2023,1
Winter 2021,3.39,2021,4
Winter 2011,4.0,2020,1
Spring 2018,3.7,2024,4
Spring 2023,2.87,2019,1
Spring 2015,2.14,2021,2
Winter 2011,3.26,2017,3
Winter 2020,3.88,2023,2
Winter 2011,2.01,2016,3
Spring 2014,2.82,2016,3
Fall 2015,2.61,2015,3
Summer 2022,3.48,2017,4
Fall 2014,3.94,2025,4
Winter 2016,3.79,2022,3
Fall 2017,2.29,2019,4
Fall 2020,2.05,2021,2
Fall 2017,2.49,2016,2
Winter 2014,2.83,2016,3
Winter 2017,2.91,2021,3
Winter 2012,2.05,2020,2
Summer 2021,2.91,2022,1
Winter 2023,2.1,2024,1
Fall 2013,3.42,2022,4
Summer 2015,2.69,2021,1
Summer 2017,3.96,2023,3
Fall 2012,3.22,2021,4
Fall 2022,2.96,2015,3
Winter 2023,2.04,2022,4
Summer 2019,3.91,2015,4
Spring 2018,3.42,2024,4
Winter 2010,3.74,2024,3
Spring 2021,2.46,2016,2
Summer 2020,2.12,2017,4
Spring 2019,3.13,2016,4
Summer 2013,2.61,2021,2
Spring 2015,2.05,2024,2
Winter 2015,2.9,2022,4
Summer 2022,2.57,2022,1
Fall 2011,2.9,2017,4
Winter 2022,2.1,2018,3
Summer 2012,2.39,2021,2
Fall 2011,2.68,2024,4
Summer 2022,3.8,2023,4
Fall 2021,3.17,2018,2
Spring 2011,2.22,2020,1
Winter 2018,2.02,2021,4
Summer 2015,2.21,2023,3
Summer 2023,2.2,2019,1
Winter 2017,2.21,2019,2
Fall 2014,2.7,2015,1
Spring 2012,3.91,2016,2
Summer 2019,3.75,2019,2
Summer 2014,3.19,2018,2
Spring 2021,2.23,2023,2
Winter 2015,3.13,2023,3
Spring 2014,2.57,2018,2
Winter 2019,3.6,2019,4
Winter 2013,2.75,2021,3
Summer 2017,2.95,2024,2
Spring 2014,2.17,2018,4
Fall 2017,2.07,2023,2
Spring 2011,3.41,2021,3
Winter 2014,3.83,2022,4
Spring 2021,3.86,2017,2
Summer 2017,3.62,2017,2
Fall 2015,2.23,2023,1
Winter 2014,3.06,2015,2
Spring 2019,2.29,2022,4
Summer 2023,3.04,2024,4
Spring 2016,3.77,2021,1
Fall 2012,2.23,2019,2
Spring 2012,2.31,2018,4
Fall 2018,3.52,2019,2
Winter 2020,3.31,2020,3
Winter 2023,3.95,2025,3
